text,expected,predicted
"Почему собака, когда подходит к тебе, нюхает твою жопу, а когда кот подходит к тебе, в лицо суёт свою жопу?
",1.0,1.0
"Ну вот у меня есть такая, декабрь 2008 года, 42 тем. Ну так получилось, поездил, отдал жене, а работаем в одном месте, ездили на моей, потом декрет, особо не ездила, сейчас иногда берет. Продавать не буду, пусть будет на всякий случай
",0.0,0.0
"Фотошоп- коричневого пятнышка на трусах нет
",1.0,0.0
Ты точно в этом уверен?,0.0,1.0
"А я бы сдал Путина, согласятся ли хохлы получить Путина и отказаться от Крыма?
",1.0,0.0
"То же самое планирую сделать и с номером супруги. Теле2 не уважает своих пользователей, мы пользуемся уже около 12 лет сим картами
",0.0,0.0
"Посмотрел я вашу нюксель-пуксель, последние видео, что это блять за хуйня? Судя по воплям на весь двач, там должны были быть какие-то страшные, тоталитарно-сектанские идеи, которые уничтожат белую расу и захватят мир, а там, я уже не говорю, что надо чё-то про политику в РФ, про путина, про фсб, про суды, про выборы, про пенсии, там же про феминизм и вообще про левые идеи нихуя нет. Какие-то домики для ёжиков, котики, истории про отношения, какое у неё сегодня настроение было - грустненькое или веселенько, менструальные блять чаши. Да уж, после такого реально страшно за белую расу
",1.0,0.0
"Ну вот главврач и старается уменьшить вероятность жалоб)
",0.0,0.0
"Эти наборы совсем не копеечные. В розничных магазинах цена за 1200 уходит
",0.0,0.0
"Всё нормально - это полезный уголь. Например как активированный, очищающий организм от токсинов или как микрогранулы угля в иновационных шампунях для чисти кожи и волос. Начальство заводов наконец-таки подумало о людях, а они как чернь непросвещённая сразу на митинги за 500 рублей. Так что лучше сидить дома и смело используйте этот снег в пище и гигиене - поможет сэкономить на шампуне и коммунальных платежах за воду. Всего доброго.
",0.0,0.0
"Беда России-дураки и дороги.
",1.0,0.0
"А можно подробнее, где найти информацию?
",0.0,0.0
"Удивлён, но лойс ирл сняли, второй раз с таким сталкиваюсь. Хотя и не сомневался в его словах.
",0.0,0.0
"Почитал уже, как время то лет быстро.
",0.0,0.0
"Могут. Но тогда у полицейского останется неподтвержденный доход. В таможне, например, намного строже это дело. Даже когда родители дают денег на, скажем, закрытие ипотеки, то у гос. служащего просят подтверждение этих доходов (продажа чего-либо, либо 2НДФЛ за 3 года позволяет скопить такую сумму).
",0.0,0.0
"Картинка конечно гуманитарная, (обьём в м2).. а посыл я думаю такой что если в машинах люди будут ездить по 5 человек, а не по одному, то пробки минимум в пять раз уменьшаться.
",0.0,0.0
"Ты живёшь ради секса, долбоёб?
",1.0,1.0
"Не было. Это пиздеш ТСа.
",1.0,0.0
"Офигенно он упал конечно в конце, но тут тег жесть нужен.
",0.0,0.0
"Это так не работает. Фаза и батарея должны быть.
",0.0,0.0
"Я, скажем, если лечу из Германии на Урал, то удобнее брать билет туда-обратно, чтоб голова не болела о приобретении билета лишний раз. Но бывает ситуация,когда из за опоздания вылета одного самолёта, я могу опоздать на тот, который доставит меня до конечного пункта, так бывает. Что,получается, что мне ещё и обратные аннулируют, что ли?
",0.0,0.0
"Что-то подобное было у Хайнлайна в Луна - суровая хозяйка , но остальное там немного не то, всё же
",0.0,0.0
"Директор магазина собственноручно проверял и все пояснял. Так что сомнения появлялись в виду мнительности и моего занудства в критерии выбора техники. Все таки деньги даются непросто.
",0.0,0.0
"Я не говорил про глюки, в посте автор сам не знает 80е, или 90е это были. Я помнил как анонсировали Дисней клуб и как он начинался, об этом и рассказал честно. Так-же я оказался прав, что дело было в 90х, а не 80х Я правильно рассказал про одну Дисней программу, но благодаря возникшему диалогу смог узнать, что была ещё и другая. То-есть я всё таки говорил о том, что я знал
",0.0,0.0
"Бабы вообще сосут на отъебись Ты проверял?
",1.0,1.0
"В этом случае все правильно и полностью оправдано.
",0.0,0.0
"Никогда не понимал, почему вместо лайков номера телефонов?
",0.0,0.0
", Уточнения фотография пост содержит художественную фотографию; Примеры: замок, леопард; Некорректное использование: бытовое фото;
",0.0,1.0
"А вы уверены что там весь курс такой? У itvdn полно годных курсов.
",0.0,1.0
"Правильно, у рузке особый путь с духовностью и спидом как у негров, к черту этих белых идиотов, предлагаю всем русским обмазать себя углем чтобы не ассоциироваться с белыми. И правда, мы граничим, торгуем и путешествуем по белым странам, без которых бы эта страна превратилась в нищую помойку с технологиями уровня 19 века. Какие же ебаные дегенераты иногда открывают свой рот, уверен что ни у немцев, ни у поляков с французами даже и в мыслях нет зачем нам эти белые, мы не белые, особый путь кукареку , брысь отсюда дугинистское червеобразное.
",1.0,0.0
"какое уёбищное выражение, блядь. ну и -- вот это называется не спалитбся ? нихуя себе пытаясь не спалиться
",1.0,0.0
"Реальная история, тигра тогда ещё Малахов к себе приглашал
",0.0,0.0
"г. Раменское. В этом сервисе славный дяденька-владелец. Своя пасека у него в Мордовии
",1.0,0.0
"Ты забыл как сам тут в 2013 срал? Я понимаю что хохлы после прочтения неприятных постов впадают в депрессию, но это все последствия их квасного национализма. И прекрати называть хохлов людьми, хохол не может быть человеком.
",1.0,1.0
"Как минимум по сумме заслуг, это должен был быть Маэстро
",0.0,0.0
"Где-то сжигают книги.. А где-то фотографов. Возможно, мы сейчас стоим у истоков целого фестиваля..",1.0,0.0
"Вот и повод купить что-то поновее. На возврат не особо надейся. Если была включена синхронизация, то контакты востановятся. На будущее есть антивор, устанавливаешь и делать с телефоном много чего.
",0.0,0.0
"Главное сохраняет морду лица
",1.0,0.0
"У меня есть карта типа Универсальная, с кредитным лимитом. Если платишь вовремя, никаких процентов, очень удобно. Но очень маленькая, 1000 грн (можно увеличить лимит, но и этого хватает). В принципе, я могу платить этой картой в магазах, если налички нет или не хватает в тот момент, а до конца месяца просто закинуть нужную сумму.
",0.0,0.0
"Нет) те вертолеты, которые летают заграницей, эти же вертолеты летают и в России). Перевозка вертолета заграницу - тоже отдельная история. Либо своим ходом, либо вертолет разбирается почти полностью, грузится в самолёт и потом уже на месте собирается. После истечения контракта этот же вертолет, таким же образом возвращается в Россию и выполняет работу уже дома.
",0.0,0.0
"Преступления у СССР ? Перед кем ? Перед Алоизовичем? НЕ БЫЛО! ТВЕРДО И ЧЕТКО! НЕ-БЫ-ЛО!!
",1.0,0.0
"Загнул бы её раком и выебал в её лохматую пизду.
",1.0,0.0
"амазонские выдры охуенные
",1.0,1.0
"Слышал такое мнение, из-за него приоритет просмотра понижен ) Однако первая серия неплоха, а атмосфера частично напомнила понравившийся мне Danmachi, так что выводы всё равно позже сделаю)
",0.0,0.0
"если только скота. обычные русские норм живут
",1.0,0.0
"Тут как бы у человека проблема, а ты ерничаешь. Уж извини, но неадекваты вообще в дискуссии с психологической подоплекой не должны входить - они просто себя позорят некомпетентностью.
",1.0,1.0
"Как говорил один мой старый знакомый, оцени весь масштаб катастрофы: Но это не МишаМК.
",0.0,0.0
"Путилково пробки, Одинцово только электричка до дома, Бутово только если старая застройка, иначе те же пробки
",0.0,0.0
"Проснись, у тебя нет мужа :о
",0.0,1.0
"Мне похуй, я Фантомас. Отвалите от меня со своей поцреотической херней. Обратитесь в ближайший военкомат, там вам будут рады. Хороший компост всегда в цене
",1.0,0.0
"Если будет время и желание, может пообщаюсь по этому вопросу с юристами)
",0.0,0.0
"а теперь вспомни какие ощущения вызывает случайное соприкосновение ложки с зубами.
",0.0,1.0
"Тащемта чисто по виду фары из достаточно толстой трубы, так что они всяко крепче каких-нибудь ушек для крепления. В этом смысле они весьма логично подошли. Что до цепей, у них стандарты есть же по весу. Если с ними всё норм, то почему нет? А что до на рывок , краны вообще не для этих целей, а для нормального вертикального подъёма. Кран - не трактор же.
",0.0,0.0
"Я лечил в Казахстане, потом в России, потом в Болгарии, все время мучался и переделывал за очередным безруким. Пока не попал к зубному врачу в маленьком австрийском городке с 12.000 населения. Который все поправил, поставил где надо импланты и решил вопрос принципиально.
",0.0,0.0
"Попутал, ЛРК 7.5 страна игр поставила. Тем не менее, у мании тоже своих косяков хватало. Например Disciples 3 8.5 баллов ( ), и в следующем же месяце назвали их худшей стратегией года.
",0.0,0.0
"Ну блдь, импеллер жеж, импеллер.
",1.0,0.0
"СЛЫШ ты лох ахуел совсем такое писать мразь?
",1.0,1.0
"Может, просто социальная несправедливость не дает покоя предыдущему докладчику? Время ведь сейчас такое: ты либо работаешь клоуном у пидорасов, либо пидорасом у клоунов за тот же самый мелкий прайс. Либо вообще, прости господи, буддист. Вот вы, извините, к кому себя относите?
",0.0,1.0
"Если бы отсосала Штейну.
",1.0,0.0
"За 65 миллионов лет приспособились бы
",0.0,0.0
"В беларуси норм платят за кровь и плазму. 50 долларов за кровь, и чуть больше за плазму.
",0.0,0.0
"Ну это типично. Как он вёл? -нормально же
",1.0,1.0
"Решил сразу реабилитироваться и залил видос с Александром. Но уже поздно, канал хрюкана зашкварен навсегда.
",1.0,0.0
"ХУЯ КАКОЙ У ВАС ТУТ ТРЕДИК! МИМОПРОХОДИЛ, СМОТРЮ ЕБАНА ДА ЭТО Ж ПЯКИН ВАЛЕРА Вчера чет внезапоно посмотрел Пякина про историю с Золотовым, знатно проиграл как Валера бомбил что Золотов опустился на уровень Нагвального Алексея, мол Дженерал а опустился до говна. Золотов фейковый Дженерал я в педивикии сегодня читал, одни понты а не Дженерал. Нахуй Пякин защищает этого ворюгу? Он че ебобо? И значет вся его анал литика и инфо блоки это о я ебу какой бред? Я все правильно понял? А то у меня есть друзья дрочащие на коб и пякина.
",1.0,1.0
"Это про 10000 долларов от ЕСПЧ?
",0.0,0.0
"Мне было лет 12. Мы с семьёй поехали в Египет, побывал впервые заграницей. Когда плавал в море, в искусственном рифе на глубине метров 5 нашел карточку-пропуск от чужого номера. Пошел на ресепшн, узнал от какого номера, узнал про штраф за утерю (около 50 долларов вроде). Нашёл этот номер, думал выручу человека. Вышел пьяный мужик спросил че надо, говорю вот нашел ваш пропуск на дне, он сказал молодец и закрыл передо мной дверь. Тогда то мне родители и объяснили, что не все взрослые бывают адекватными.
",0.0,0.0
"А штрафы за что? УК это какая нибудь ООО, в платёжки штрафы не засунешь, оплачивать будут со своей прибыли
",0.0,0.0
"Сколько 50К м2 ???!!!!! Блин 5К м2.
",0.0,0.0
"И сколько мы тратим на Сирию? На пенсии например из бюджета в год уходит 4-8 трлн. р. в год.
",0.0,0.0
"Спустя 4000 лет после Шумера артефактов вагон. Спустя 700 лет после покорения всей Евразии монголами артефактов нет вообще, а те крохи, которые им приписываются, имеют судя по всему арабское, или тюркско-среднеазиатское происхождение. Великолепно!!!
",0.0,0.0
"Спросите три породы котов, подозреваю будет: британец, мейнкун и кот-обормот
",0.0,0.0
"Ох, свежайший приём сам дурак , ты из детского сада пишешь, что ли? Воистину, нацея дигродирует.
",1.0,1.0
"Если сравнивать Камень и Доминион, что бы посоветовали?
",0.0,0.0
"Бариста-бариста, можно же по нашему - Кофевар! Хотя нет... Пусть будет Бариста)
",1.0,0.0
Пописал на недовольных омежек)),1.0,0.0
"И как бонусом регулярная реклама яндекс обрыгаловки.
",0.0,1.0
"А по существу вопроса , куда могли исчезнуть гигабайты ? У меня была подобная фигня - забыл отключить вайфай , ушло около 1,5 Гб на обновление приложений , сожрался весь трафик , пришлось докупать. Чтобы такого не повторялось заблочил плеймаркет и в настройках установил лимит и предупреждение, когда остаётся 500 Мб.
",0.0,0.0
"чаще всего оказывается,что это была идея бизнесменов славянской национальности Во-первых, вы ща хохлов в русских записали, лол. Во-вторых, да-да, лично Путин придумывает схемы.
",1.0,0.0
"та нахуй оно мне надо, я тупа пажилые отрезки смотрю на ютубе. не ну а що? хардплей дурачок балконный кст
",1.0,0.0
Просто даже аутичные потуги что-то придумать зашли нахуй в неизвестном направлении.,1.0,1.0
"Нужен массовый продукт. Зайди в тренды, посмотри что делают каналы у которых на неделе 2ляма просмотров. Желательно что-то для аудитории 16-28 лет. Можно ради прикола быть мразотой, можно обсуждать темы, изобретать или творить дичь. Всё сейчас настолько уныло и однообразно, что самому уже захотелось идти туда. Но так лень... А если стесняешься или не умеешь, то отдай материал на фриланс монтаж и пиши сценарий чтоб был какой нибудь оплачиваемый ведущий. Сейчас на ютубе наступило время продюсеров.
",0.0,0.0
"И на повышение, как обычно
",0.0,0.0
"Раньше у Евгена контент был разнообразнее, были как отечественные, так и зарубежные фильмы, потом пошли только наши комедии, а теперь вообще, только драмматичное кино, в которых, ни он, ни зритель, не могут поугарать с обсурдности происходящего, тот же последний обзор, как правильно было подмечено, вызывает скорее чувство отращения, и уж точно не вызывает улыбку, от тупости происходящего на экране.
",0.0,0.0
"Срутся, и это придает дополнительное ускорение. )
",0.0,0.0
"Хто знает что там за мужчины, я жене наоборот всегда советую с небольшим каблуком ботиночки. А летом кеды или кроссовки. И на рыбалку и в походы ее беру с собой. А на рыбалке и в лесу каблук и шпилька верный способ сломать ногу или пропороть лодку. Да и на велосипеде некомфортно ей было бы.
",0.0,0.0
"Эдвард Билл вас в жопу бил? Ыыыыы мазафакка сука
",1.0,0.0
"А обе фотки в один пост засунуть религия Кармодрочерство не позволила?
",1.0,0.0
"Все запускается и ничего не крашится. Кто эти люди? ну серьезно?
",0.0,0.0
"У нас тут проблема возникла... Сделали выписку моей матери, там вообще почти ничего не указано и есть данные о пенсионных отчислениях только за 2018 год, то есть куда пропало 30 лет стажа... Я в легком шоке и не знаю, то ли это в госуслугах какой-то баг, то ли там все документы потеряли... Сижу уже несколько дней и не понимаю что с этим делать. p.s. , как вы относитесь к идее перенести ваш пост в сообщество Антимошенник ?
",0.0,0.0
"Я категорически против детского труда. Все эти разговоры из серии: вот раньше можно было школоту привлекать и ничо никто не умер-это херня. Дети которые таскают по этажам 19л бутылки для куллера или машушие лопатами снег вокруг школы -это начало проблем со спиной.
",0.0,0.0
"Хуёрческий, как я понимаю Хова не оценил ту помойную шаболду, в которую Кузьма начал хуй с кольцами засовывать. В таком случае реально лучше высказать все мысли другу, посеять семена сомнения в нём и не общаться несколько лет, в ожидании когда он таки проявит наблюдательность и поймёт как лоханулся, чем подпёздывать ему, а потом такой ну я догадывался, что она блядует, просто тебе не говорил... как Юлик сделает.
",1.0,1.0
"отличная планировка, мастер бедрум и три спальни.
",0.0,0.0
"Моего недовольства тут нет. Я нормально зарабатываю и работаю сейчас сам, на себя. Хотя почему то модно переносить примеи на написавшего, с унизительной интерпритацией сказанного. Для того и нужны прозрачные данные зарплат. Что бы у одних не возникало вопросов,а другие не охуевали. Что все люди разные это и иак понятно, и отношения к проблеме того, что кто то судит всех со своей колокольни не имеет. Все люди разные, но имея прозрачные данные, каждый мог бы понимать что, как и почему.
",0.0,0.0
"ТС, завязывай нарушать ТБ! Проверяй качество проводки, вилок, розеток электрообрудования заранее ! А то энное подключение может стать призовым , увы. (из серии - Двое поспорили, кто дальше высунется из окна девятого этажа. Вдруг один выйграл!)
",0.0,0.0
"У меня тоже доча в отцовскую породу, никакого теста ДНК не нужно чтобы понять. Одна из самых частых фраз, когда муж говорит, что хочет его сделать)
",0.0,0.0
"Только в нищей Пидорашке.
",1.0,0.0
"Потому что нищий нацист-это коммунист.У Гитлера немцы в очередях не стояли и неграм с арабами не помогали.Ну то есть помогали но в меру
",1.0,0.0
"ИДИ НАХУЙ, СУКА, ЗАВАЛИ ЕБАЛО, БЛЯТЬ
",1.0,1.0
"А куда девать оставшиеся 320 мл молока?
",0.0,0.0
"Ну там не только пулевые, осколочных много, с одним осколком под сердцем всю жизнь прожил, опасно извлекать было. Рука левая до конца вверх не поднималась, тоже осколок остался. В аэропорту всегда звенел проходя через рамку металоискателя
",0.0,0.0
"40м однушка в доме 70-80 годов за 5.5-6 более чем реально, да и метро будет в 10 минутах пешком.
",0.0,0.0
"Спасибо за рецепт! Это замечательно вкусно!
",0.0,0.0
"Путин - не Пыня. Повторяю. Путин - не пыня Даю установку, задержите дыхание, смотрите на экран П У Т И Н Н Е П Ы Н Я Все ясно, либерахи? Не пыня Путин, Пыня это Сисян.
",1.0,0.0
"Это не у нас, это везде так будет. Человеческая природа в этом плане универсальна и от места не зависит. А то, что чем дальше, тем больше люди будут расслабляться, это абсолютно точно. Например, в нашей компании вполне реально работать хоть из дома, хоть ночью, хоть 4 дня, хоть на полставки. Во всех случаях зп будет выше средней по городу минимум, а у многий - намного выше средней. Такая система действует уже 8 лет. И за это время была куча примеров того, что если у человека нет внутренней мотивации к работе, то любое послабление будет приводить к уменьшению производительности и росту ожиданий, что дальше будет еще легче больше денег. Причем на людей с собственной мотивацией не влияет почти ничто, кроме крайнего падения зп (но такого у нас не было).
",0.0,0.0
"Хватит уже, у меня итак из-за этого психика разрушилась... Зашел на сайт с играми, выбрал с веселой картинкой, а там вместо игры эта поебетень.
",1.0,0.0
"Ля! Ты смотри курит, звоните Вальке. Скажите что муж дымится. Ps: Это типо отсылочка на шуточки в сваты
",0.0,1.0
"Вот пидарасы! Ну ничео перед ЖЕНЩИНОЙ они ещё встанут на колени!
",1.0,0.0
"сюр какой-то, какая палата, какая госпитализация при ласике? максимум два часа в клинике, если последний в очереди на операцию, через неделю на контрольный осмотр и свободен
",0.0,0.0
"Среди умных людей -безусловно. Но стреляют то в в основном идиоты.
",1.0,0.0
"Я люблю собирать грибы, а есть потом не очень, лежат сушеные.
",0.0,0.0
"При более менее интересных оьоротах выгоднее сделать ИП и платить 6 налог.
",0.0,0.0
"Дадада! Цгане, уёбывайте в рашку, там вам будут рады, а у нас корь и С14.
",1.0,0.0
"Скорее хохлом завовусь, чем скотоублюдком. ЭТО ОДНО И ТОЖЕ, хохол
",1.0,0.0
"Ну естественно. На машинах с спортивным мотором многие вещи являются расходниками, когда как на обычном авто спокойно ходят по 50 000 км.
",0.0,0.0
"В принципе трат уходит достаточно. Как то даже не задумывался посчитать. Честно. Копить я так и не научился, копит ли жена, не узнавал)
",0.0,0.0
"Помню, что давным давно читала статью (возможно выдумка), что в какой-то азиатской стране с помощью этой фигни спроектировали схему метро. Типа по точкам-городам разместили воду, а плазмодий примерно в центре. И получается, что он по короткому пути нашел воду, а человеки глупые сделали из этого схему метро.
",0.0,0.0
"Жаль, я уж надеялся, что хоть кто-то из небольших стран сможет отпор дать америке. Эти страны, ровно столько будут существовать в своём нынешнем виде, сколько они будут нужны США, России или Китаю.
",0.0,1.0
"Ахуеть, а ты откуда знаешь!!!?!??
",1.0,1.0
"Доиграешься ты со своей русофобией.
",1.0,1.0
"Откуда вот в таком возрасте? Расскажи какую воду пьешь?
",1.0,0.0
"Это касается любого бизнеса с входным билетом до 500 тысяч.
",0.0,0.0
"Явно кто-то в доле, это как мы хотели старые тены поменять, т.к. они немерянно энергии жрали на более экономичные, так не дали, говорят не вы же платите за энергию, а государство, зачем экономить...
",0.0,0.0
"Как то странно порог размещён. При закрытой двери будет торчать ламинат. Я всегда думал, что порог размещают под дверным полотном при закрытом состоянии.
",0.0,0.0
"история подводной лодки курск фильм получился очень хорошим. без пропагандонщины. правдивый. всё как по официальным отчётам было. только вот смешно когда нужно показать эностранцу город и жизнь в россии, ему нужно в искать самые зашкваренные раёны у себя. напомню, в курске ёбнула торпеда. а именно её топливо. топливо которое уже доставляло белым людям хлопот и были катастровы на лодке из за него. потому от него отказались. но у рашки не было денег от него отказыватся, и необучаемость погубила подлодку и людей. это топливо с прикосновением метала очень взрывоопасно становится, вот и случилось. так же экипаж не могли достать из за того что не было рабочих средств спасения. европейцы предлагали свою помощь и даже прислали уже на место крушения свои спасательные подлодки. но их помощь не приняли. мол сами справимся. что мы сверх подержава или нет?! оказалось нет. ещё расследование показало что экипаж случайно устроил у себя там в безопасном отсеке мини-взрыв, потеряв таким образом последний воздух.
",0.0,0.0
"Запор же это хохлоповозка. Почему она под москальскими флагами?
",1.0,0.0
А этот коммент можете плюсовать,0.0,1.0
"Тут только один путь - выходить из декрета и брать все в свои руки
",0.0,0.0
"Удивительно живучий аппарат. Этотпервый телефон в руках дочки который прожил более 6 месяцев. А, нет, zte кнопочный она ваще не смогла сломать. Но в него, мне кажется, гвоздь можно вбить и при этом одна сим-карта все-же будет работать.
",0.0,0.0
"Кто-то занял кем-то расчищенное парковочное место?
",0.0,1.0
"Такие алгоритмы есть даже в ВК, с некоторыми запрещенными фотками и комибанциями слов (самый известный пример это копипаста Синего кита , а менее известный это с6ер6анк
",0.0,0.0
"У беварда некоторые уличные камеры изначально идут с браком - разъём сам разваливается даже если она просто лежит на складе. И да, цвета полностью совпадают с стандартной распиновкой, и точно так же лечится установкой коробки.
",0.0,0.0
"Чтобы получить ровную елочку с обоих сторон нужно каждую деталь пробивать отдельно, с лица, потом клеить. Это сложнее в разметке и склейке, но результат будет гораздо симпотичнее, чем ваш шов
",0.0,0.0
"Если кто-то найдет мои документы, я готов отдать все свои деньги, которые появятся",0.0,0.0
"Распознает, что у пользователя было во рту и передает производителю, с целью определения контент рекламы.
",0.0,0.0
"Именно по этому он лезет в ебаные игры для детей и несет хуйню пытаясь натянуть опыт медленно умирающего пендостана на Россию.
",1.0,0.0
"бил бабу по ебалу еще до того, как это стало мейнстримом
",1.0,0.0
"Уходи вообще с пикабу с такой хуйней.
",1.0,1.0
"Какие же французы терпилы, пиздец просто. Стоит пернуть неподалеку, они уже натренировались поднимать панику, теракт каждые два дня.
",1.0,0.0
"Либертарианство технически невыполнимо в масштабах человечества, потому что не подходит большинству Но оно как раз существует в масштабах человечества, т.к. нет власти над государствами. А ниже все люди объединились своими контрактами. Для полного либертарианского совершенства социальные контракты нужно оформить письменно.
",0.0,0.0
"Поддвачну. Всем похуй на пуки маспожоров.
",1.0,1.0
"Он как-то раз подошел в двум здоровым чуркам. И ему даже дали по ебалу и чё? Он с красным лицом пошел дальше пранковать.
",1.0,1.0
"Скоро гейропейский союз развалится и его захватят черножопые, а святая РУСЬ станет новой Византией. Скриньте.
",1.0,1.0
"С первой тоже. У меня родственница была с первой группой инвалидности по псих.заболеванию, но дееспособности не была лишена.
",0.0,0.0
"Смотря у кого заказывать. Я с когда еБея из Кореи заказывал, то доставка была бесплатной. Заказывал себе пятилезвенный станок с батарейкой и 9-ю лезвиями в комплекте за неполных 2000р. С учётом того, что эти лезвия живут дольше, чем gillette fusion. Можно было купить пятилезвенный станок (обычная ручка) с 17-ю лезвиями в комплекте за 2700. Не знаю как сейчас.
",0.0,0.0
